,Mes de referencia,Codigo Fipe,Marca,Modelo,Preco Medio,Combustivel,Tracao,Litros,Valvulas,v,cv,p,Cambio,Inducao,Versao
0,9/1/2020,018065-3,Kia Motors,Bongo,88823,Diesel,4x2 | Integral on-road,2.5,,nan,,nan,, Turbo,K-2500
1,9/1/2020,018093-9,Kia Motors,Cerato,96201,Flex,4x2 | Integral on-road,2,16V,nan,,nan,Aut,Aspirado,EX
2,9/1/2020,018092-0,Kia Motors,Cerato,105540,Flex,4x2 | Integral on-road,2,16V,nan,,nan,Aut,Aspirado,SX
3,9/1/2020,018089-0,Kia Motors,Grand,326020,Gasolina,4x2 | Integral on-road,3.3,24V,V6,270,nan,Aut,Aspirado,Carnival EX
4,9/1/2020,018094-7,Kia Motors,RIO,80331,Flex,4x2 | Integral on-road,1.6,,nan,,nan,Aut,Aspirado,EX
5,9/1/2020,018095-5,Kia Motors,RIO,69710,Flex,4x2 | Integral on-road,1.6,,nan,,nan,Aut,Aspirado,LX
6,9/1/2020,018073-4,Kia Motors,Sorento,193314,Gasolina,4x2 | Integral on-road,2.4,16V,nan,,nan,Aut,Aspirado,
7,9/1/2020,018074-2,Kia Motors,Sorento,197105,Gasolina,4x4 off-road,2.4,16V,nan,,nan,Aut,Aspirado,
8,9/1/2020,018076-9,Kia Motors,Sorento,257304,Gasolina,4x4 off-road,3.5,24V,V6,,nan,Aut,Aspirado,
9,9/1/2020,018070-0,Kia Motors,SOUL,86939,Flex,4x2 | Integral on-road,1.6,16V,nan,,nan,Aut,Aspirado,
10,9/1/2020,018079-3,Kia Motors,Sportage,161170,Flex,4x2 | Integral on-road,2,16V,nan,,nan,Aut,Aspirado,EX
11,9/1/2020,018077-7,Kia Motors,Sportage,121303,Flex,4x2 | Integral on-road,2,16V,nan,,nan,Aut,Aspirado,LX
12,9/1/2020,018091-2,Kia Motors,Stinger,350154,Gasolina,4x2 | Integral on-road,3.3,,V6,370,nan,Aut, bi-turbo,GT
13,9/1/2020,078017-0,LAMBORGHINI,AVENTADOR,7200000,Gasolina,4x2 | Integral on-road,,,nan,,nan,,Aspirado,LP 770-4 SVJ
14,9/1/2020,078012-0,LAMBORGHINI,AVENTADOR,3980000,Gasolina,4x2 | Integral on-road,,,nan,,nan,,Aspirado,S LP 740-4
15,9/1/2020,078016-2,LAMBORGHINI,AVENTADOR,4964150,Gasolina,4x2 | Integral on-road,,,nan,,nan,,Aspirado,S LP 740-4 ROADSTER
16,9/1/2020,078014-6,LAMBORGHINI,HURACAN,2915647,Gasolina,4x2 | Integral on-road,,,nan,,nan,,Aspirado,Coupe Performante LP 640-4
17,9/1/2020,078013-8,LAMBORGHINI,HURACAN,2205100,Gasolina,4x2 | Integral on-road,,,nan,,nan,,Aspirado,Coupe RWD LP 580-2
